Station,Route,Lanes,Months Used,Count Date,Direction,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Latitude,Longitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/28/2013,NORTH,24,8844,764,17,72,30,1,6,86,0,0,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/28/2013,SOUTH,27,10167,669,24,46,28,1,5,54,0,0,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/27/2013,NORTH,65,13206,3010,40,580,188,16,45,227,5,4,5,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/27/2013,SOUTH,61,15714,3284,26,594,253,10,56,226,3,3,0,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/25/2013,SOUTH,94,14827,3517,40,631,274,28,58,244,10,5,0,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/25/2013,NORTH,72,12392,3031,38,538,250,26,56,225,9,4,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/22/2013,NORTH,93,13736,3102,30,599,311,43,65,221,8,6,3,5,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/22/2013,SOUTH,110,16722,3550,36,671,377,27,57,223,3,6,1,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/21/2013,SOUTH,102,16386,3688,32,763,400,36,48,258,16,6,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/21/2013,NORTH,90,13569,3168,35,662,292,24,53,239,21,7,2,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/20/2013,SOUTH,115,15169,3601,37,658,304,18,57,234,10,5,0,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/20/2013,NORTH,89,13320,3152,34,601,211,25,44,239,14,4,3,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/19/2013,NORTH,93,13179,3237,33,625,309,36,58,210,6,5,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/19/2013,SOUTH,122,14405,3439,23,686,378,23,53,211,5,4,1,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/18/2013,NORTH,89,12534,3015,30,577,253,9,51,205,8,10,0,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/18/2013,SOUTH,129,15129,3567,32,655,348,15,55,207,6,1,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/15/2013,SOUTH,113,16959,3706,35,670,385,18,63,243,5,6,2,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/15/2013,NORTH,98,14661,3320,32,600,348,34,61,199,8,7,3,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/14/2013,NORTH,88,13717,3241,40,629,296,48,48,249,8,8,4,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/14/2013,SOUTH,108,16397,3752,36,709,327,23,65,224,15,4,1,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
